"name","covered","lines","pct"
"MyProfilePageController","21","27","77.8"
"ChangePasswordController","6","6","100"
"ForgotPasswordController","8","9","88.9"
"SiteRegisterController","22","27","81.5"
"SiteLoginController","6","6","100"
"CommunitiesLoginController","5","5","100"
"CommunitiesSelfRegConfirmController","1","1","100"
"CommunitiesSelfRegController","32","42","76.2"
"CommunitiesLandingController","3","3","100"
"MicrobatchSelfRegController","32","40","80"
"LightningLoginFormController","15","33","45.5"
"LightningSelfRegisterController","55","78","70.5"
"LightningForgotPasswordController","9","20","45"
"AuditLogService","2","46","4.3"
"DocumentProcessingController","44","292","15.1"
"TriggerDispatcher","19","23","82.6"
"AccountTriggerHandler","66","71","93"
"AccountTrigger","1","1","100"
"SupplierRiskDashboardController","141","195","72.3"
"VendorPortalController","461","1420","32.5"
"ScopeCalloutQueueable","87","121","71.9"
"ScopeOnboardingService","6","8","75"
"ScopeService","28","43","65.1"
"IntegrationErrorLogger","20","22","90.9"
"ScreeningService","27","29","93.1"
"SubSupplierController","38","379","10"
"AuditReportController","37","127","29.1"
"PolicyDocumentController","12","184","6.5"
"MultiTierRollupQueueable","4","4","100"
"MultiTierRollupService","134","144","93.1"
"MultiTierRollupBatch","9","9","100"
"SupplierRiskChangeTrigger","6","6","100"
"RiskScoreService","65","67","97"
"IntelligenceDashboardController","20","127","15.7"
