"rule","severity","file","startLine","message"
"OperationWithLimitsInLoop","3","force-app\main\default\classes\CrudEnforcementTest.cls","75","Avoid operations in loops that may hit governor limits"
"OperationWithLimitsInLoop","3","force-app\main\default\classes\DocAssessQueueable.cls","107","Avoid operations in loops that may hit governor limits"
"ApexSharingViolations","3","force-app\main\default\classes\LightningSelfRegisterController.cls","1","Apex classes should declare a sharing model if DML or SOQL/SOSL is used"
"OperationWithLimitsInLoop","3","force-app\main\default\classes\MultiTierRollupService.cls","73","Avoid operations in loops that may hit governor limits"
"OperationWithLimitsInLoop","3","force-app\main\default\classes\MultiTierRollupService.cls","85","Avoid operations in loops that may hit governor limits"
"OperationWithLimitsInLoop","3","force-app\main\default\classes\MultiTierRollupService.cls","152","Avoid operations in loops that may hit governor limits"
"OperationWithLimitsInLoop","3","force-app\main\default\classes\MultiTierRollupService.cls","153","Avoid operations in loops that may hit governor limits"
"ApexDangerousMethods","3","force-app\main\default\classes\SubSupplierController.cls","494","Calling potentially dangerous method"
"VfCsrf","2","force-app\main\default\pages\CommunitiesLanding.page","1","Avoid calling VF action upon page load"
"VfCsrf","2","force-app\main\default\pages\CommunitiesLogin.page","1","Avoid calling VF action upon page load"
