"rule","severity","file","startLine","message"
"prefer-const","3","force-app\main\default\lwc\scComplianceDashboard\scComplianceDashboard.js","144","'series' is never reassigned. Use 'const' instead."
"prefer-const","3","force-app\main\default\lwc\scProcurementConsole\scProcurementConsole.js","2254","'raw' is never reassigned. Use 'const' instead."
"ApexCRUDViolation","2","force-app\main\default\classes\AuditLogService.cls","19","Validate CRUD permission before SOQL/DML operation or enforce user mode"
"ApexCRUDViolation","2","force-app\main\default\classes\AuditLogService.cls","25","Validate CRUD permission before SOQL/DML operation or enforce user mode"
"ApexCRUDViolation","2","force-app\main\default\classes\AuditLogService.cls","40","Validate CRUD permission before SOQL/DML operation or enforce user mode"
"ApexCRUDViolation","2","force-app\main\default\classes\AuditLogService.cls","54","Validate CRUD permission before SOQL/DML operation or enforce user mode"
"ApexCRUDViolation","2","force-app\main\default\classes\AuditLogService.cls","71","Validate CRUD permission before SOQL/DML operation or enforce user mode"
"EmptyCatchBlock","2","force-app\main\default\classes\ComplianceEvaluatorService.cls","558","Avoid empty catch blocks"
"EmptyCatchBlock","2","force-app\main\default\classes\ComplianceLookupService.cls","156","Avoid empty catch blocks"
"OperationWithLimitsInLoop","3","force-app\main\default\classes\CrudEnforcementTest.cls","75","Avoid operations in loops that may hit governor limits"
"OperationWithLimitsInLoop","3","force-app\main\default\classes\DocAssessQueueable.cls","107","Avoid operations in loops that may hit governor limits"
"EmptyCatchBlock","2","force-app\main\default\classes\DocumentLookupService.cls","168","Avoid empty catch blocks"
"EmptyCatchBlock","2","force-app\main\default\classes\DocumentValidatorService.cls","496","Avoid empty catch blocks"
"ApexCRUDViolation","2","force-app\main\default\classes\IntegrationErrorLogger.cls","25","Validate CRUD permission before SOQL/DML operation or enforce user mode"
"ApexCRUDViolation","2","force-app\main\default\classes\IntegrationErrorLogger.cls","41","Validate CRUD permission before SOQL/DML operation or enforce user mode"
"EmptyCatchBlock","2","force-app\main\default\classes\IntegrationErrorLogger.cls","50","Avoid empty catch blocks"
"ApexOpenRedirect","2","force-app\main\default\classes\LightningForgotPasswordController.cls","17","Apex classes should safely redirect to a known location"
"ApexSharingViolations","3","force-app\main\default\classes\LightningSelfRegisterController.cls","1","Apex classes should declare a sharing model if DML or SOQL/SOSL is used"
"ApexOpenRedirect","2","force-app\main\default\classes\LightningSelfRegisterController.cls","94","Apex classes should safely redirect to a known location"
"OperationWithLimitsInLoop","3","force-app\main\default\classes\MultiTierRollupService.cls","72","Avoid operations in loops that may hit governor limits"
"ApexCRUDViolation","2","force-app\main\default\classes\MultiTierRollupService.cls","72","Validate CRUD permission before SOQL/DML operation or enforce user mode"
"OperationWithLimitsInLoop","3","force-app\main\default\classes\MultiTierRollupService.cls","84","Avoid operations in loops that may hit governor limits"
"ApexCRUDViolation","2","force-app\main\default\classes\MultiTierRollupService.cls","84","Validate CRUD permission before SOQL/DML operation or enforce user mode"
"OperationWithLimitsInLoop","3","force-app\main\default\classes\MultiTierRollupService.cls","151","Avoid operations in loops that may hit governor limits"
"OperationWithLimitsInLoop","3","force-app\main\default\classes\MultiTierRollupService.cls","152","Avoid operations in loops that may hit governor limits"
"ApexCRUDViolation","2","force-app\main\default\classes\MultiTierRollupService.cls","152","Validate CRUD permission before SOQL/DML operation or enforce user mode"
"ApexCRUDViolation","2","force-app\main\default\classes\RiskScoreService.cls","103","Validate CRUD permission before SOQL/DML operation or enforce user mode"
"ApexCRUDViolation","2","force-app\main\default\classes\RiskScoreService.cls","115","Validate CRUD permission before SOQL/DML operation or enforce user mode"
"ApexCRUDViolation","2","force-app\main\default\classes\RiskScoreService.cls","165","Validate CRUD permission before SOQL/DML operation or enforce user mode"
"ApexCRUDViolation","2","force-app\main\default\classes\SubSupplierController.cls","443","Validate CRUD permission before SOQL/DML operation or enforce user mode"
"ApexDangerousMethods","3","force-app\main\default\classes\SubSupplierController.cls","491","Calling potentially dangerous method"
"ApexCRUDViolation","2","force-app\main\default\classes\SupplierProfileTriggerHandler.cls","118","Validate CRUD permission before SOQL/DML operation or enforce user mode"
"ApexCRUDViolation","2","force-app\main\default\classes\VendorPortalController.cls","1250","Validate CRUD permission before SOQL/DML operation or enforce user mode"
"EmptyCatchBlock","2","force-app\main\default\classes\VendorPortalController.cls","2485","Avoid empty catch blocks"
"ApexCRUDViolation","2","force-app\main\default\classes\VendorPortalController.cls","3147","Validate CRUD permission before SOQL/DML operation or enforce user mode"
"ApexCRUDViolation","2","force-app\main\default\classes\VendorPortalController.cls","3210","Validate CRUD permission before SOQL/DML operation or enforce user mode"
"ApexCRUDViolation","2","force-app\main\default\classes\VendorPortalController.cls","3231","Validate CRUD permission before SOQL/DML operation or enforce user mode"
"ApexCRUDViolation","2","force-app\main\default\classes\VendorPortalController.cls","3233","Validate CRUD permission before SOQL/DML operation or enforce user mode"
"AvoidLogicInTrigger","3","force-app\main\default\triggers\SupplierRiskChangeTrigger.trigger","14","Avoid logic in triggers"
"EmptyCatchBlock","2","force-app\main\default\triggers\SupplierRiskChangeTrigger.trigger","21","Avoid empty catch blocks"
"VfCsrf","2","force-app\main\default\pages\CommunitiesLanding.page","1","Avoid calling VF action upon page load"
"VfCsrf","2","force-app\main\default\pages\CommunitiesLogin.page","1","Avoid calling VF action upon page load"
