"class","line","method","kind","bucket","form"
"VendorPortalController","197","requestDocumentsFromSupplier","SOQL","I","guard in method"
"VendorPortalController","281","persistCuratedChecklist","DML","I","guard in method"
"VendorPortalController","308","persistCuratedChecklist","SOQL","I","guard in method"
"VendorPortalController","310","persistCuratedChecklist","DML","I","stripInaccessible"
"VendorPortalController","346","sendDocumentRequestEmail","SOQL","I","guard in method"
"VendorPortalController","384","resendDocumentRequestEmail","SOQL","I","guard in method"
"VendorPortalController","389","resendDocumentRequestEmail","SOQL","I","guard in method"
"VendorPortalController","462","resolveMaterialDomains","SOQL","I","USER_MODE"
"VendorPortalController","505","doScreen","SOQL","I","guard in method"
"VendorPortalController","655","runScreeningAndPersist","SOQL","I","guard in method"
"VendorPortalController","664","runScreeningAndPersist","DML","I","stripInaccessible"
"VendorPortalController","681","askCopilot","SOQL","I","guard in method"
"VendorPortalController","688","askCopilot","SOQL","I","guard in method"
"VendorPortalController","744","getCaseDocumentsImpl","SOQL","G","guard in method"
"VendorPortalController","750","getCaseDocumentsImpl","SOQL","G","guard in method"
"VendorPortalController","789","removeSupplierDocumentImpl","SOQL","G","guard in method"
"VendorPortalController","796","removeSupplierDocumentImpl","SOQL","G","guard in method"
"VendorPortalController","807","removeSupplierDocumentImpl","DML","G","guard in method"
"VendorPortalController","849","addRequirementFromDocumentImpl","DML","G","guard in method"
"VendorPortalController","879","removeChecklistRequirement","SOQL","I","guard in method"
"VendorPortalController","894","removeChecklistRequirement","DML","I","guard in method"
"VendorPortalController","1088","getSupplierSnapshotImpl","SOQL","G","guard in method"
"VendorPortalController","1138","getSupplierSnapshotImpl","SOQL","G","guard in method"
"VendorPortalController","1162","getSupplierSnapshotImpl","SOQL","G","guard in method"
"VendorPortalController","1248","getSupplierSnapshotImpl","SOQL","G","guard in method"
"VendorPortalController","1255","getSupplierSnapshotImpl","SOQL","G","guard in method"
"VendorPortalController","1348","getDocumentLinksByAssessment","SOQL","G","guard in method"
"VendorPortalController","1367","getDocumentLinksByAssessment","SOQL","G","guard in method"
"VendorPortalController","1374","getDocumentLinksByAssessment","SOQL","G","guard in method"
"VendorPortalController","1427","getAnalystUsers","SOQL","I","guard in method"
"VendorPortalController","1465","assignToAnalyst","SOQL","I","guard in method"
